StateFIPS,State,CountyFIPS,County,Year,Value,Data Comment,Unnamed: 7
25,Massachusetts,25013,Hampden,2000,636,,
25,Massachusetts,25013,Hampden,2001,814,,
25,Massachusetts,25013,Hampden,2002,708,,
25,Massachusetts,25013,Hampden,2003,828,,
25,Massachusetts,25013,Hampden,2004,629,,
25,Massachusetts,25013,Hampden,2005,728,,
25,Massachusetts,25013,Hampden,2006,841,,
25,Massachusetts,25013,Hampden,2007,781,,
25,Massachusetts,25013,Hampden,2008,807,,
25,Massachusetts,25013,Hampden,2009,939,,
25,Massachusetts,25013,Hampden,2010,821,,
25,Massachusetts,25013,Hampden,2011,733,,
25,Massachusetts,25013,Hampden,2012,796,,
25,Massachusetts,25013,Hampden,2013,740,,
25,Massachusetts,25013,Hampden,2014,810,,
25,Massachusetts,25013,Hampden,2015,798,,
25,Massachusetts,25013,Hampden,2016,531,,
25,Massachusetts,25013,Hampden,2017,588,,
25,Massachusetts,25013,Hampden,2018,609,,
25,Massachusetts,25013,Hampden,2019,474,,
25,Massachusetts,25013,Hampden,2020,184,,
